,N,Scope,CZXEB,SQRB,idle_freqs_GHz,int_freqs_GHz,Calibration Failures
Baseline,2,,"((('q4_3', 'q5_3'), 0.004070337194181428), (('q6_5', 'q7_5'), 0.004758195748744809), (('q10_5', 'q11_5'), 0.13595193519151363), (('q2_5', 'q3_5'), 0.09553225166971585), (('q6_9', 'q7_9'), 0.01485099501993356), (('q8_7', 'q9_7'), 0.0050655305552207985), (('q4_7', 'q5_7'), 0.05801846569460409), (('q6_1', 'q7_1'), 0.004606380960046591))","(('q2_5', 0.0006100093584572308), ('q3_5', 0.0006431393204117675), ('q4_3', 0.0005949908717012287), ('q4_7', 0.0009528375854583326), ('q5_3', 0.0005341632562951837), ('q5_7', 0.0004878992447410191), ('q6_1', 0.0010194811029258788), ('q6_5', 0.0005842871031471186), ('q6_9', 0.0011863947294660782), ('q7_1', 0.0007667657545946671), ('q7_5', 0.0005601459919296059), ('q7_9', None), ('q8_7', 0.0006570921539864605), ('q9_7', 0.0007916002559534285), ('q10_5', 0.000766943494545369), ('q11_5', 0.0005827122530356332))","(('q2_5', 5.757999999999586), ('q3_5', 6.127999999999545), ('q4_3', 5.925999999999568), ('q4_7', 5.649999999999598), ('q5_3', 6.063999999999552), ('q5_7', 5.871999999999574), ('q6_1', 5.579999999999606), ('q6_5', 6.097999999999549), ('q6_9', 6.107999999999548), ('q7_1', 5.715999999999591), ('q7_5', 5.80999999999958), ('q7_9', 6.0899999999995496), ('q8_7', 5.591999999999604), ('q9_7', 5.9719999999995625), ('q10_5', 5.655999999999597), ('q11_5', 6.061999999999553))","((('q4_3', 'q5_3'), 5.611999999999602), (('q6_5', 'q7_5'), 6.137999999999544), (('q10_5', 'q11_5'), 5.805999999999581), (('q2_5', 'q3_5'), 5.807999999999581), (('q6_9', 'q7_9'), 5.787999999999583), (('q8_7', 'q9_7'), 5.6299999999996), (('q4_7', 'q5_7'), 5.603999999999603), (('q6_1', 'q7_1'), 5.90799999999957))",1
Baseline,2,,"((('q2_3', 'q2_4'), 0.010224931898022982), (('q4_1', 'q4_2'), 0.005078532347755238), (('q6_3', 'q6_4'), 0.003480085120284887), (('q8_5', 'q8_6'), 0.017992264715908007), (('q6_7', 'q6_8'), 0.006146636430032271))","(('q2_3', 0.0018905901369126732), ('q2_4', 0.0005896347134365376), ('q4_1', 0.0006006356520243394), ('q4_2', 0.0005397469145689837), ('q6_3', 0.0005710688228281469), ('q6_4', 0.0005329113436516875), ('q6_7', 0.0004993902075842716), ('q6_8', 0.0008983573419021895), ('q8_5', 0.0006222703984788414), ('q8_6', 0.0004900916320358939))","(('q2_3', 6.121999999999546), ('q2_4', 6.137999999999544), ('q4_1', 5.891999999999571), ('q4_2', 6.241999999999533), ('q6_3', 5.959999999999564), ('q6_4', 6.129999999999545), ('q6_7', 5.915999999999569), ('q6_8', 5.787999999999583), ('q8_5', 5.929999999999567), ('q8_6', 6.245999999999532))","((('q2_3', 'q2_4'), 5.767999999999585), (('q4_1', 'q4_2'), 5.9179999999995685), (('q6_3', 'q6_4'), 6.101999999999548), (('q8_5', 'q8_6'), 5.705999999999592), (('q6_7', 'q6_8'), 6.015999999999558))",0
Baseline,2,,"((('q6_8', 'q7_8'), 0.01684402678041194), (('q6_4', 'q7_4'), 0.00792059257172445), (('q2_4', 'q3_4'), 0.008049680004883125), (('q8_6', 'q9_6'), 0.004338876164704963), (('q4_2', 'q5_2'), 0.005650988453538397), (('q4_6', 'q5_6'), 0.15711261415689212))","(('q2_4', 0.000559722207492952), ('q3_4', 0.0006425694469270882), ('q4_2', 0.00048373798102485654), ('q4_6', 0.021735001518982777), ('q5_2', 0.0006165374477093977), ('q5_6', 0.0006803927476863869), ('q6_4', 0.0007185577592593861), ('q6_8', 0.0005836090219596413), ('q7_4', 0.00048161437322608025), ('q7_8', 0.0008946605677427888), ('q8_6', 0.0005665221074753757), ('q9_6', 0.0007800817911836622))","(('q2_4', 5.80999999999958), ('q3_4', 5.689999999999594), ('q4_2', 5.755999999999586), ('q4_6', 5.7819999999995835), ('q5_2', 5.677999999999595), ('q5_6', 5.765999999999585), ('q6_4', 5.80999999999958), ('q6_8', 5.7179999999995905), ('q7_4', 5.71999999999959), ('q7_8', 5.837999999999577), ('q8_6', 6.0719999999995515), ('q9_6', 5.941999999999566))","((('q6_8', 'q7_8'), 5.9999999999995595), (('q6_4', 'q7_4'), 6.1179999999995465), (('q2_4', 'q3_4'), 5.6339999999996), (('q8_6', 'q9_6'), 6.0539999999995535), (('q4_2', 'q5_2'), 6.041999999999555), (('q4_6', 'q5_6'), 5.667999999999596))",0
Baseline,2,,"((('q4_2', 'q4_3'), 0.005099561794246671), (('q6_0', 'q6_1'), 0.004091282991039558), (('q6_8', 'q6_9'), 0.007913231784817287), (('q4_6', 'q4_7'), 0.006391295713128686), (('q8_2', 'q8_3'), 0.017236385852952896), (('q10_4', 'q10_5'), 0.003946541886972882), (('q2_4', 'q2_5'), 0.00559864742899302), (('q6_4', 'q6_5'), 0.00516065663336876), (('q8_6', 'q8_7'), 0.009686109622102285))","(('q2_4', 0.0008016623983607696), ('q2_5', 0.0012584592742531653), ('q4_2', 0.0004978770283859957), ('q4_3', 0.00045642555962516207), ('q4_6', 0.0008407464531149378), ('q4_7', 0.0010767709188529428), ('q6_0', 0.0005542207706671909), ('q6_1', 0.000712485163095522), ('q6_4', 0.0006535742564305336), ('q6_5', 0.0006249638368121535), ('q6_8', 0.0008888412093209785), ('q6_9', 0.0005075725389885877), ('q8_2', 0.0009718999209475387), ('q8_3', 0.0005983958208888307), ('q8_6', 0.0005505260072192208), ('q8_7', 0.0008582321244411939), ('q10_4', 0.0006458519187667044), ('q10_5', 0.0004223212899807649))","(('q2_4', 6.009999999999558), ('q2_5', 5.713999999999591), ('q4_2', 6.101999999999548), ('q4_3', 5.9999999999995595), ('q4_6', 5.72399999999959), ('q4_7', 5.693999999999593), ('q6_0', 5.8999999999995705), ('q6_1', 6.107999999999548), ('q6_4', 5.845999999999576), ('q6_5', 6.205999999999537), ('q6_8', 5.745999999999587), ('q6_9', 6.223999999999535), ('q8_2', 5.771999999999585), ('q8_3', 5.787999999999583), ('q8_6', 6.129999999999545), ('q8_7', 6.033999999999556), ('q10_4', 5.6999999999995925), ('q10_5', 5.893999999999571))","((('q4_2', 'q4_3'), 5.845999999999576), (('q6_0', 'q6_1'), 5.919999999999568), (('q6_8', 'q6_9'), 5.939999999999566), (('q4_6', 'q4_7'), 5.7179999999995905), (('q8_2', 'q8_3'), 5.767999999999585), (('q10_4', 'q10_5'), 5.841999999999577), (('q2_4', 'q2_5'), 5.729999999999589), (('q6_4', 'q6_5'), 5.855999999999575), (('q8_6', 'q8_7'), 5.747999999999587))",0
Baseline,2,,"((('q5_3', 'q6_3'), 0.004258067857940084), (('q7_5', 'q8_5'), 0.006773949713959532), (('q5_7', 'q6_7'), 0.004122613591015789))","(('q5_3', 0.0006063972996275258), ('q5_7', 0.0005520063058751523), ('q6_3', 0.0005617309195801168), ('q6_7', 0.00029458737968190984), ('q7_5', 0.0007783861055869479), ('q8_5', 0.002040953424478187))","(('q5_3', 5.965999999999563), ('q5_7', 5.99399999999956), ('q6_3', 5.989999999999561), ('q6_7', 6.205999999999537), ('q7_5', 6.08399999999955), ('q8_5', 5.80999999999958))","((('q5_3', 'q6_3'), 5.99799999999956), (('q7_5', 'q8_5'), 5.923999999999568), (('q5_7', 'q6_7'), 5.969999999999563))",0
Baseline,2,,"((('q7_2', 'q7_3'), 0.007178724415258075), (('q9_4', 'q9_5'), 0.007506098713369325), (('q3_2', 'q3_3'), 0.005845003494004575), (('q5_0', 'q5_1'), 0.004982022172745237), (('q5_8', 'q5_9'), 0.009680697547300804), (('q7_6', 'q7_7'), 0.03424010227264526), (('q5_4', 'q5_5'), 0.005006584195635488), (('q3_6', 'q3_7'), 0.005552481893396272), (('q1_4', 'q1_5'), 0.06191700691088767))","(('q1_4', 0.0006133902527472035), ('q1_5', 0.0010642971904067378), ('q3_2', 0.0003682189838575267), ('q3_3', 0.0006665754596874018), ('q3_6', 0.0011587576512178122), ('q3_7', 0.000654274920110276), ('q5_0', 0.0006616675255349813), ('q5_1', 0.0006438161702592704), ('q5_4', 0.0003887635971904224), ('q5_5', 0.0003105283042133533), ('q5_8', 0.0006154081699053515), ('q5_9', 0.000884798875926851), ('q7_2', 0.0007264468746325248), ('q7_3', 0.001301039205010901), ('q7_6', 0.0012006023865157034), ('q7_7', 0.0005161160509594143), ('q9_4', 0.0005612655565858105), ('q9_5', 0.0006324533371892538))","(('q1_4', 5.709999999999591), ('q1_5', 6.091999999999549), ('q3_2', 6.011999999999558), ('q3_3', 5.819999999999579), ('q3_6', 6.0899999999995496), ('q3_7', 5.745999999999587), ('q5_0', 5.819999999999579), ('q5_1', 5.771999999999585), ('q5_4', 6.163999999999541), ('q5_5', 6.08199999999955), ('q5_8', 6.165999999999541), ('q5_9', 5.7819999999995835), ('q7_2', 6.069999999999552), ('q7_3', 6.065999999999552), ('q7_6', 6.119999999999546), ('q7_7', 5.9539999999995645), ('q9_4', 5.90399999999957), ('q9_5', 6.015999999999558))","((('q7_2', 'q7_3'), 5.789999999999583), (('q9_4', 'q9_5'), 5.643999999999599), (('q3_2', 'q3_3'), 5.613999999999602), (('q5_0', 'q5_1'), 5.733999999999589), (('q5_8', 'q5_9'), 5.805999999999581), (('q7_6', 'q7_7'), 6.005999999999559), (('q5_4', 'q5_5'), 5.6339999999996), (('q3_6', 'q3_7'), 5.891999999999571), (('q1_4', 'q1_5'), 5.741999999999588))",0
Baseline,2,,"((('q9_6', 'q10_6'), 0.0021715990544882158), (('q5_6', 'q6_6'), 0.010063728615532036), (('q5_2', 'q6_2'), 0.004330924508304468), (('q7_8', 'q8_8'), 0.003515390939682672), (('q5_10', 'q6_10'), 0.027649783439038123), (('q7_4', 'q8_4'), 0.004550588036153769), (('q3_4', 'q4_4'), 0.004942688003013396))","(('q3_4', 0.0004707931094882767), ('q4_4', 0.0004542823461929357), ('q5_2', 0.0005022029587161692), ('q5_6', 0.0007095700861743937), ('q5_10', 0.0005403742303339287), ('q6_2', 0.0006181369319611663), ('q6_6', 0.000980438419931673), ('q6_10', 0.0004100898901180927), ('q7_4', 0.00046022178411508907), ('q7_8', 0.0006937113828863195), ('q8_4', 0.00088547404584155), ('q8_8', 0.00042716775423795594), ('q9_6', None), ('q10_6', 0.0007071230076890478))","(('q3_4', 5.99399999999956), ('q4_4', 6.08799999999955), ('q5_2', 5.895999999999571), ('q5_6', 6.075999999999551), ('q5_10', 6.009999999999558), ('q6_2', 5.847999999999576), ('q6_6', 5.81599999999958), ('q6_10', 5.827999999999578), ('q7_4', 5.959999999999564), ('q7_8', 5.879999999999573), ('q8_4', 5.785999999999583), ('q8_8', 6.293999999999527), ('q9_6', 6.147999999999543), ('q10_6', 6.0899999999995496))","((('q9_6', 'q10_6'), 6.091999999999549), (('q5_6', 'q6_6'), 5.6179999999996015), (('q5_2', 'q6_2'), 5.757999999999586), (('q7_8', 'q8_8'), 5.983999999999561), (('q5_10', 'q6_10'), 5.709999999999591), (('q7_4', 'q8_4'), 5.751999999999587), (('q3_4', 'q4_4'), 5.861999999999575))",1
Baseline,2,,"((('q8_5', 'q9_5'), 0.0048079018640661275), (('q4_1', 'q5_1'), 0.0045487863519674265), (('q6_3', 'q7_3'), 0.005671101072128648), (('q6_7', 'q7_7'), 0.10634139218182603), (('q0_5', 'q1_5'), 0.0059878858401328505), (('q2_7', 'q3_7'), 0.004695071430415199), (('q2_3', 'q3_3'), 0.0037491677550362257), (('q4_9', 'q5_9'), 0.010819631290386517))","(('q0_5', 0.00085890096919361), ('q1_5', 0.0008994471435968543), ('q2_3', 0.0006028410556627728), ('q2_7', 0.006573192090670976), ('q3_3', 0.0007080187211169764), ('q3_7', 0.0006404035062437807), ('q4_1', 0.0004960376835479452), ('q4_9', 0.0007020593555037702), ('q5_1', 0.00047599951929611084), ('q5_9', 0.0006958867106804378), ('q6_3', 0.0005096560886477253), ('q6_7', 0.010693452379763213), ('q7_3', 0.000915407789153333), ('q7_7', 0.009672459093060248), ('q8_5', 0.0007345363826016804), ('q9_5', 0.0005537871955600959))","(('q0_5', 5.869999999999574), ('q1_5', 5.729999999999589), ('q2_3', 5.945999999999565), ('q2_7', 6.291999999999527), ('q3_3', 5.873999999999573), ('q3_7', 5.729999999999589), ('q4_1', 5.72399999999959), ('q4_9', 6.213999999999536), ('q5_1', 5.8179999999995795), ('q5_9', 5.883999999999572), ('q6_3', 5.81599999999958), ('q6_7', 6.139999999999544), ('q7_3', 5.743999999999588), ('q7_7', 6.147999999999543), ('q8_5', 5.739999999999588), ('q9_5', 5.827999999999578))","((('q8_5', 'q9_5'), 5.643999999999599), (('q4_1', 'q5_1'), 5.6319999999996), (('q6_3', 'q7_3'), 5.695999999999593), (('q6_7', 'q7_7'), 5.923999999999568), (('q0_5', 'q1_5'), 5.951999999999565), (('q2_7', 'q3_7'), 5.797999999999582), (('q2_3', 'q3_3'), 5.791999999999582), (('q4_9', 'q5_9'), 5.8819999999995725))",0
Baseline,2,,"((('q3_6', 'q4_6'), 0.008838997209832639), (('q7_2', 'q8_2'), 0.04031569045453054), (('q5_8', 'q6_8'), 0.005815586201640355), (('q5_0', 'q6_0'), 0.007132485196653882), (('q9_4', 'q10_4'), 0.004379120371324652), (('q3_2', 'q4_2'), 0.003574638502454708), (('q7_6', 'q8_6'), 0.006553048090687297), (('q5_4', 'q6_4'), 0.0031965303880707174), (('q1_4', 'q2_4'), 0.005112910707847751))","(('q1_4', 0.0005704517492737815), ('q2_4', 0.0005423255132677718), ('q3_2', 0.0006808590688860972), ('q3_6', 0.0005043560645506817), ('q4_2', 0.0004345889021891147), ('q4_6', 0.0006015660639153153), ('q5_0', 0.00035720361913499366), ('q5_4', 0.0006392729285240595), ('q5_8', 0.0008164319371299911), ('q6_0', 0.0006598779199870064), ('q6_4', 0.00047183208620193984), ('q6_8', 0.0009441641203166151), ('q7_2', 0.0005509427534297062), ('q7_6', 0.0015024322967794324), ('q8_2', 0.0006965643945046618), ('q8_6', 0.0007934987564895413), ('q9_4', 0.0006771636233982581), ('q10_4', 0.0009437361705323388))","(('q1_4', 5.825999999999579), ('q2_4', 5.8819999999995725), ('q3_2', 5.755999999999586), ('q3_6', 6.115999999999547), ('q4_2', 6.195999999999538), ('q4_6', 5.709999999999591), ('q5_0', 5.943999999999566), ('q5_4', 5.839999999999577), ('q5_8', 5.795999999999582), ('q6_0', 5.783999999999583), ('q6_4', 6.17599999999954), ('q6_8', 5.7179999999995905), ('q7_2', 5.9179999999995685), ('q7_6', 5.949999999999565), ('q8_2', 5.837999999999577), ('q8_6', 5.8539999999995755), ('q9_4', 6.007999999999559), ('q10_4', 5.841999999999577))","((('q3_6', 'q4_6'), 5.965999999999563), (('q7_2', 'q8_2'), 5.687999999999594), (('q5_8', 'q6_8'), 6.063999999999552), (('q5_0', 'q6_0'), 5.749999999999587), (('q9_4', 'q10_4'), 5.689999999999594), (('q3_2', 'q4_2'), 6.041999999999555), (('q7_6', 'q8_6'), 5.847999999999576), (('q5_4', 'q6_4'), 6.037999999999555), (('q1_4', 'q2_4'), 5.877999999999573))",0
Baseline,2,,"((('q9_6', 'q9_7'), 0.039493306860772626), (('q7_8', 'q7_9'), 0.017909442873019044), (('q5_6', 'q5_7'), 0.004413794330882903), (('q3_4', 'q3_5'), 0.005158090250515862), (('q7_4', 'q7_5'), 0.005058346453259643), (('q5_2', 'q5_3'), 0.00424926343416171))","(('q3_4', 0.0007666613752088103), ('q3_5', 0.0011158527544360974), ('q5_2', 0.0006066198233305453), ('q5_3', 0.0006980295064634712), ('q5_6', 0.0005886018272481808), ('q5_7', 0.0008147766591846684), ('q7_4', 0.0004899472587020504), ('q7_5', 0.0006108630604374499), ('q7_8', 0.0016579948683332901), ('q7_9', 0.0003247147047393262), ('q9_6', 0.009799368128163899), ('q9_7', 0.0006056528036031961))","(('q3_4', 5.749999999999587), ('q3_5', 5.7359999999995885), ('q5_2', 5.713999999999591), ('q5_3', 6.027999999999556), ('q5_6', 5.81399999999958), ('q5_7', 5.747999999999587), ('q7_4', 5.7359999999995885), ('q7_5', 5.709999999999591), ('q7_8', 6.213999999999536), ('q7_9', 5.909999999999569), ('q9_6', 6.125999999999546), ('q9_7', 5.937999999999566))","((('q9_6', 'q9_7'), 5.793999999999582), (('q7_8', 'q7_9'), 5.739999999999588), (('q5_6', 'q5_7'), 5.829999999999578), (('q3_4', 'q3_5'), 5.9359999999995665), (('q7_4', 'q7_5'), 5.6319999999996), (('q5_2', 'q5_3'), 5.733999999999589))",0
